ID,Year,Month,Stage,ProjectNumber,Lead,ShortTitle,Programme,Funder,TotalBudget,StaffTime 
44,2007,1,C,950,JMH,ECOiSHARE,D5,Premier Oil,48000,48000
45,2007,1,C,1172,TJ,French version of World Atlas of Great Apes,A1,UNESCO,8000,6000
46,2007,1,C,2037B,LM,FRIS - Stage 3,D4,Foresty Commission,0,0
47,2007,1,C,2138C,CB,Forest Certification 2010,D4,"Kimberly Clark, WWF-US",152291.9945,114218.9959
48,2007,1,C,2178,LM,Dryland Watch,D4,UNCCD,59000,44250
49,2007,1,C,2346,LF,IMO Collaboration,C2,IMO,5000,3750
50,2007,1,C,2351,JDH,Biodiversity Yearbook,D4,"UNEP PCMU, UNEP DEWA",114218.9959,85664.24692
51,2007,1,C,2383,CB,Global Mapping IAS,D4,New Zealand Government,132000,99000
52,2007,1,C,2387,EC,World Atlas of Saltmarshes,D4,TNC,250000,187500
53,2007,1,C,2389,JMH,Transition Plan,A1,DEFRA / IUCN / Shell,862987.9689,647240.9767
54,2007,1,C,2399,JMH,CITES Trade Data,A1,Japanese Government,10152.79963,7614.599726
55,2007,1,C,2401,IM,Support to Regional Seas,C3,IMO,5000,3750
56,2007,1,C,2403,CDB,Vision 2020,D5,"UNEP PCMU, UNEP DEWA",543682.4204,407761.8153
57,2007,1,C,2404,PH,UNFCCC and forest conservation,D3,UNEP (ED's Discretionary Fund),147215.5947,76145.99726
58,2007,1,C,2439,PB,Information management in Protected Areas,D4,,80000,60000
59,2007,1,C,2446,CDB,Protected Areas Climate Change,D5,"UNEP PCMU, UNEP DEWA",515254.5815,386440.9361
60,2007,1,C,2447,NA,MA Sub Global Follow Up,D4,"UNEP PCMU, UNEP DEWA",431493.9845,228437.9918
61,2007,1,C,2450,CB,Plant Biodiversity Outlook,D4,Various governments via CBD,220000,70000
62,2007,1,C,,JDH,Digitalisation of the Library,A1,"TNC, Tom Moritz",28000,21000
63,2007,1,C,,CB,Assessing forest certification schemes,D4,Stichting Doen,152291.9945,114218.9959
64,2007,1,C,,IL,"PARITII - PA info for Eastern Europe, Caucasus, Central Asia",D5,UNDP,1545000,0
65,2007,1,C,,CDB,"2.1.1 Develop dectralise, seure, efficient data transfer systems ",D5,CBD,60916.79781,45687.59836
66,2007,1,C,,CDB,2.1.2 Developmet of webtools ,D5,CBD,4314.939845,3236.204883
67,2007,1,C,,CDB,2.1.3 Validation of WDPA data through devleopment of partnerships,D5,CBD,76145.99726,57109.49794
68,2007,1,C,,CDB,2.2.1 Facilitate completion of national reports,D5,CBD,298492.3093,223869.2319
69,2007,1,C,,CDB,2.2.2 Compile inventory of complete PA system gap analysis,D5,CBD,298492.3093,223869.2319
70,2007,1,C,,CDB,2.2.3 Develop online reporting tools for PA's indicators,D5,CBD,5076.399817,3807.299863
71,2007,1,C,,CDB,2.2.4 Produce annual report of PA's Indicators,D5,CBD,10152.79963,7614.599726
72,2007,1,C,,CDB,2.2.5 Develop series of webpages to communicate findings to the SCBD,D5,CBD,5076.399817,3807.299863
73,2007,1,C,,EM,2.3.1 Develop revised list for MPA data,D5,CBD,7614.599726,5710.949794
74,2007,1,C,,EM,2.3.2 Develop interoperability between MPA and WDPA,D5,CBD,25381.99909,19036.49931
75,2007,1,C,,EM,2.3.3 Create comprehensive online marine visualisation system,D5,CBD,23859.07914,17894.30936
76,2007,1,C,,EM,2.3.4 Complet the data collation of marine managed areas,D5,CBD,81222.39708,60916.79781
77,2007,1,C,,EM,2.3.5 High Seas MPAs,D5,CBD,54008,40506
78,2007,1,C,,JMH,Sustainable use Indicators,A1,Shell,65963.06069,0
79,2007,1,D,1108,LM,World Atlas of Threatened Trees,D4,,372000,0
80,2007,1,D,2194,LM,Global Targeting of Landscape Interventions,D4,ICRAF,0,0
81,2007,1,D,2332,EC,Alien Species in Ballast Water ,D4,UNEP GEF,3000,0
82,2007,1,D,2367,EC,Assessing the impacts of Protected Areas on local economies,D4,UNEP DEWA,20000,15000
83,2007,1,D,2391,CR,Seagrass Database,C2,University of New Hampshire,10000,7500
84,2007,1,D,2400,IM,West and Central Africa IMAPS,C3,IPIECA,60000,45000
85,2007,1,D,2405,LF,Qinetiq,C2,Qinetiq,5000,3750
86,2007,1,D,2409,IM,Advanced Alerts for Conservation,C2,World Bank,200000,150000
87,2007,1,D,2412,PH,EC Environmental Mainstreaming Support Services,D3,EC,0,0
88,2007,1,D,2414,CDB,World Heritage Technical Support,D5,UNESCO,50763.99817,38072.99863
89,2007,1,D,2415,SF,Consultation Paper - Trade in Aquatic Ornamentals ,D3,EC,10000,10000
90,2007,1,D,2436,EC,Dredging Policies,D4,DEFRA also local governments,0,0
91,2007,1,D,2437,EC,Economic Evaluation,D4,DEFRA,0,0
92,2007,1,D,2438,CB,Spatial Analysis of Policy Implementation,D4,DEFRA,0,0
93,2007,1,D,2445,HG,South America trees workshop,D3,Norwegian Government,100000,65000
94,2007,1,D,2458,LM,Island Assessment,D4,Nippon Foundation,274125.5901,205594.1926
95,2007,1,D,2460,LM,Regional Scenario Manual,D4,CBD,0,0
96,2007,1,D,,TJ,Protected Areas for the Mining Sector,A1,,0,0
97,2007,1,D,,EC,Critical Ecosystem Dataset,D4,,0,0
98,2007,1,D,,JMH,Satellite Imagery,A1,"WRI, National Geographic",0,0
99,2007,1,D,,EC,Kelp Dataset,D4,TNC,0,0
100,2007,1,D,,EC,Global Marine Database,D4,NOAA,0,0
101,2007,1,D,,EM,Practical definitions for marine monitoring,D5,JNCC with MRAG Ltd,6500,0
102,2007,1,D,,JMH,"Joint programme for biofuels, landuse and biodiversity",A1,Corporate target,0,0
103,2007,1,D,,JMH,Forest/WDPA Analysis for avoided deforestation,A1,,0,0
104,2007,1,D,,JMH,National Agency Biodiversity Assessment Tool (NABAT),A1,"Joint development with IUCN, CI and BirdLife",0,0
105,2007,1,D,,JDH,Scholorship scheme for UNEP-WCMC,A1,,0,0
106,2007,1,D,,TJ,State of world's protected areas,A1,Rutherford Foundation,10000,0
107,2007,1,D,,EC,Publication of West Africa Mangroves,D4,"UNEP Regional Seas, UNEP, DEWA, Wetlands International, WWF",30458.3989,1000
108,2007,1,D,,PB,Health and biodiversity,D4,COHAB,15000,15000
109,2007,1,F,,CB,Evaluation of the MedWet Inititative,D4,Ramsar Convention,9137.519671,1
110,2007,1,F,2343,EM,Melanesian Marine Protected Areas in a changing climate.,D5,Macarthur Foundation,60916.79781,1
111,2007,1,F,,IM,Pipeline in Serbia,A1,Nippon Koei,12000,1
112,2007,1,F,,PB,Environmental Health,D4,NERC with COHAB,20000,1
113,2007,1,F,2462,CDB,WDPA Data improvements and validation ,D5,German Government  (Through CBD),36000,1
114,2007,1,F,2303,CDB,IABIN PAs Network,D5,IABIN,5076.399817,1
115,2007,1,F,,CDB,World Database on Protected Areas,D5,Small grants (potentially TNC),10000,0
116,2007,1,F,,KZ,Biodiversity Data Portal,A1,,0,0
117,2007,1,F,2374,IM,Mekong,C2,Asia Development Bank,386334.3317,3
118,2007,1,F,2362,PB,Capacity Building Development,D4,,3240,0
119,2007,2,1,2435A,HG,SE Asia Trees Workshop NL,D3,Dutch Govt,52064,52064
120,2007,2,1,2485,CDB,CBD WDPA Data Improvements,D5,CBD,32123,32123
121,2007,2,1,2456,LF,IABIN Contacts Database,D5,OAS/IABIN,5664,5664
122,2007,2,2,2486,EM,2.3.5 High Seas MPAs,D5,EC (Through CBD),15049.90833,11287.43125
123,2007,2,A,1172M,LM,1172M - Orangutan Rapid Assessment,D4,UNEP GRID Arendal,6725.854183,6658.595642
124,2007,2,A,2066E,EC,ICRI Secretariat - 2007 - 2009,D4,US State Department,120000,90000
125,2007,2,A,2189G,NA,2010 BIP Sweden MDGs,D4,Swedbio,45735.80845,33629.27092
126,2007,2,A,2189K,NA,2011 BIP Sweden Food and Medicine,D4,Swedbio,43287.83866,20370.74761
127,2007,2,A,2189L,NA,2012 BIP Sweden Health and Well Being,D4,Swedbio,28009.77796,2546.343451
128,2007,2,A,2489,GF,CITES Support 2007,D3,CITES,50926.86902,50926.86902
129,2007,2,A,2359#,KZ,Second year of two-year MoU with DEWA,A1,DEWA,198614.7892,158891.8313
130,2007,2,A,2385,LM,REFORLAN,D4,University of Bournemouth,10000,7500
131,2007,2,A,2413,NA,MA methods manual,D4,Zayed prize-funded (via UNEP) ,127317.1725,48888
132,2007,2,A,2413A,NA,MA methods manual,D4,DEFRA,18000,12000
133,2007,2,A,2432A,LM,IAASTD reports review,D4,UNEP,7639.030352,7639.030352
134,2007,2,A,2449,NA,Circumpolar Biodiversity Monitoring Programme 2006,D4,Canadian Government,13274.33628,6637.168142
135,2007,2,A,2453,RP,CMS Party Reports 2008,D3,CMS Secretariat,40741.49521,30000
136,2007,2,A,2482,NA,2010 BIP,D4,UNEP GEF (following PDF phase),1833367.285,412044.0831
137,2007,2,A,2492,EC,Publication of West Africa Mangroves,D4,UNEP Regional Seas,5000,500
138,2007,2,A,,JMH,Sustainable use Indicators,A1,Shell,67258.54183,67258.54183
139,2007,2,B,950,JMH,ECOiSHARE,A1,Rio Tinto,50000,37500
140,2007,2,B,950,JMH,ECOiSHARE,A1,BP,50000,37500
141,2007,2,B,1122,JMH,Proteus,A1,Exon Mobil,50000,37500
142,2007,2,B,1122L,JMH,Proteus,A1,BHP Biliton,50000,37500
143,2007,2,B,1122L,JMH,Proteus,A1,Anglo Gold,50000,37500
144,2007,2,B,2189J,NA,2010 BIP Norway,D4,Norwegian Government,25463.43451,19097.57588
145,2007,2,B,2189I,NA,2010 BIP Indicators DEFRA,D4,DEFRA,101853.738,76390.30352
146,2007,2,B,2244,TJ,IHS Energy,A1,Norsk Hydro,32083.92748,32083.92748
147,2007,2,B,2244,TJ,IHS Energy,A1,Anadarko,19734.16174,19734.16174
148,2007,2,B,2244,TJ,IHS Energy,A1,Petro Bras,28009.77796,28009.77796
149,2007,2,B,2244,TJ,IHS Energy,A1,Cairn Energy,2393.562844,2393.562844
150,2007,2,B,2244,TJ,IHS Energy,A1,JOGMEC,22917.09106,22917.09106
151,2007,2,B,2244,TJ,HIS Energy,A1,Columbia,20000,15000
152,2007,2,B,2395,LM,Web-based Literature  review - conservation,D4,"Manchester Uni, ESRC",5000,3750
153,2007,2,B,2396,LM,World Atlas of Biodiversity and Climate Change ,D4,"UNEP PCMU, UNEP DEWA, Norwegian Gov.",264819.7189,198614.7892
154,2007,2,B,2441,PB,Building national capacity for biodiversity indicators and reporting on MDG-7 and the 2010 Biodiversity Target in Southern and Eastern Africa,D4,"UNDA and also UNEP PCMU, UNEP DEWA",279333.8766,59584.43675
155,2007,2,B,2451,IL,Landuse planning in East Africa,C2,WWF UK,20000,15000
156,2007,2,B,2457,LM,Island Database Workshop,D4,Total,25000,18750
157,2007,2,B,2480,LM,Climate Change Biodiversity Indicators,D4,with ADAS targetting DEFRA,60323,44639.02
158,2007,2,B,2490,GF,CITES Support 2008-11,D3,CITES,254634.3451,254634.3451
159,2007,2,B,2491,EC,GMA Follow Up,D4,"UNEP DEWA, UNESCO IOC",76390.30352,68751.27317
160,2007,2,B,,NA,Arctic 2010 Biodiversity Assessment Report,D4,"CAFF, Arctic Governments",393462.4697,295096.8523
161,2007,2,C,950,JMH,ECOiSHARE,D5,Premier Oil,48000,48000
162,2007,2,C,1172,LM,French version of World Atlas of Great Apes,A1,UNESCO,8000,6000
163,2007,2,C,2037B,LM,FRIS - Stage 3,D4,,0,0
164,2007,2,C,2138C,CB,Forest Certification 2010,D4,USAID/DFID,300000,240000
165,2007,2,C,2178,LM,Dryland Watch,D4,UNCCD,59000,44250
166,2007,2,C,2351,JDH,Biodiversity Yearbook,D4,"UNEP PCMU, UNEP DEWA",114585.4553,85939.09146
167,2007,2,C,2383,CB,Global Mapping IAS,D4,New Zealand Government,132000,99000
168,2007,2,C,2387,EC,World Atlas of Saltmarshes,D4,TNC,250000,187500
169,2007,2,C,2389,JMH,Transition Plan,A1,DEFRA / IUCN / Shell,865756.7733,649317.58
170,2007,2,C,2399,JMH,CITES Trade Data,A1,Japanese Government,10185.3738,7639.030352
171,2007,2,C,2401,IM,Support to Regional Seas,C3,IMO,5000,3750
172,2007,2,C,2403,CDB,Vision 2020,D5,"UNEP PCMU, UNEP DEWA",545426.7672,409070.0754
173,2007,2,C,2404,PH,UNFCCC and forest conservation,D3,UNEP (ED's Discretionary Fund),147687.9201,76390.30352
174,2007,2,C,2437,EC,Economic Evaluation,D4,DEFRA,600000,420000
175,2007,2,C,2446,CDB,Protected Areas Climate Change,D5,"UNEP PCMU, UNEP DEWA",516907.7205,387680.7904
176,2007,2,C,2447,NA,MA Sub Global Follow Up,D4,"UNEP PCMU, UNEP DEWA",432878.3866,229170.9106
177,2007,2,C,2450,CB,Plant Biodiversity Outlook,D4,Various governments via CBD,220000,70000
178,2007,2,C,,JDH,Digitalisation of the Library,A1,"TNC, Tom Moritz",28000,21000
179,2007,2,C,,IL,"PARITII - PA info for Eastern Europe, Caucasus, Central Asia",D5,UNDP,1545000,0
180,2007,2,C,,CDB,"2.1.1 Develop dectralise, seure, efficient data transfer systems ",D5,CBD,61112.24282,45834.18211
181,2007,2,C,,CDB,2.1.2 Developmet of webtools ,D5,CBD,4328.783866,3246.5879
182,2007,2,C,,CDB,2.1.3 Validation of WDPA data through devleopment of partnerships,D5,CBD,76390.30352,57292.72764
183,2007,2,C,,CDB,2.2.1 Facilitate completion of national reports,D5,CBD,299449.9898,224587.4924
184,2007,2,C,,CDB,2.2.2 Compile inventory of complete PA system gap analysis,D5,CBD,299449.9898,224587.4924
185,2007,2,C,,CDB,2.2.3 Develop online reporting tools for PA's indicators,D5,CBD,5092.686902,3819.515176
186,2007,2,C,,CDB,2.2.4 Produce annual report of PA's Indicators,D5,CBD,10185.3738,7639.030352
187,2007,2,C,,CDB,2.2.5 Develop series of webpages to communicate findings to the SCBD,D5,CBD,5092.686902,3819.515176
188,2007,2,C,,EM,2.3.1 Develop revised list for MPA data,D5,CBD,7639.030352,5729.272764
189,2007,2,C,,EM,2.3.2 Develop interoperability between MPA and WDPA,D5,CBD,25463.43451,19097.57588
190,2007,2,C,,EM,2.3.3 Create comprehensive online marine visualisation system,D5,CBD,23935.62844,17951.72133
191,2007,2,C,,EM,2.3.4 Complet the data collation of marine managed areas,D5,CBD,81482.99043,61112.24282
192,2007,2,C,,LT,2.3.5 High Seas MPAs,D5,CBD,54008,40506
193,2007,2,C,,CZ,Data management for CBMP,D4,,200000,180000
194,2007,2,C,,NA,DFID/NERC Ecosystem Services,D4,"DFID, NERC, ESRC",1000000,80000
195,2007,2,C,,PB,ARK 2010 (next phase),D4,Microsoft Research/EU,200000,175000
196,2007,2,D,1108,LM,World Atlas of Threatened Trees,D4,,372000,0
197,2007,2,D,2194,LM,Global Targeting of Landscape Interventions,D4,ICRAF,0,0
198,2007,2,D,2367,EC,Assessing the impacts of Protected Areas on local economies,D4,UNEP DEWA,20000,15000
199,2007,2,D,2391,CR,Seagrass Database,C2,University of New Hampshire,10000,7500
200,2007,2,D,2400,IM,West and Central Africa IMAPS,C3,IPIECA,60000,45000
201,2007,2,D,2405,LF,Qinetiq,C2,Qinetiq,5000,3750
202,2007,2,D,2409,IM,Advanced Alerts for Conservation,C2,World Bank,200000,150000
203,2007,2,D,2412,PH,EC Environmental Mainstreaming Support Services,D3,EC,0,0
204,2007,2,D,2414,CDB,World Heritage Technical Support,D5,UNESCO,50926.86902,38195.15176
205,2007,2,D,2415,SF,Consultation Paper - Trade in Aquatic Ornamentals ,D3,EC,10000,10000
206,2007,2,D,2436,EC,Dredging Policies,D4,DEFRA also local governments,0,0
207,2007,2,D,2439,PB,Information management in Protected Areas,D4,,80000,60000
208,2007,2,D,2445,HG,South America trees workshop,D3,Norwegian Government,100000,65000
209,2007,2,D,2458,LM,Island Assessment,D4,Nippon Foundation,275005.0927,206253.8195
210,2007,2,D,2460,LM,Regional Scenario Manual,D4,CBD,0,0
211,2007,2,D,,TJ,Protected Areas for the Mining Sector,A1,,0,0
212,2007,2,D,,EC,Critical Ecosystem Dataset,D4,,0,0
213,2007,2,D,,JMH,Satellite Imagery,A1,"WRI, National Geographic",0,0
214,2007,2,D,,EC,Kelp Dataset,D4,TNC,0,0
215,2007,2,D,,EC,Global Marine Database,D4,NOAA,0,0
216,2007,2,D,,EM,Practical definitions for marine monitoring,D5,JNCC with MRAG Ltd,6500,0
217,2007,2,D,,JMH,"Joint programme for biofuels, landuse and biodiversity",A1,Corporate target,0,0
218,2007,2,D,,JMH,Forest/WDPA Analysis for avoided deforestation,A1,,0,0
219,2007,2,D,,JMH,National Agency Biodiversity Assessment Tool (NABAT),A1,"Joint development with IUCN, CI and BirdLife",0,0
220,2007,2,D,,JDH,Scholorship scheme for UNEP-WCMC,A1,,0,0
221,2007,2,D,,TJ/JMH,State of world's protected areas,A1,Rutherford Foundation/Anglo American,20000,0
222,2007,2,D,,EC,Publication of West Africa Mangroves,D4,"UNEP Regional Seas, UNEP, DEWA, Wetlands International, WWF",30556.12141,1000
223,2007,2,F,2438,CB,Spatial Analysis of Policy Implementation,D4,DEFRA,0,0
224,2007,2,F,2346,LF,IMO Collaboration,C2,IMO,5000,1
225,2007,2,F,2332,EC,Alien Species in Ballast Water ,D4,UNEP GEF,3000,0
226,2007,2,F,,PB,Health and biodiversity,D4,COHAB,15000,1
227,2007,3,1,1172M,LM,1172M - Orangutan Rapid Assessment,D4,UNEP GRID Arendal,6779.661017,6711.864407
228,2007,3,1,2189G,NA,2010 BIP Sweden MDGs,D4,Swedbio,46101.69492,32653
229,2007,3,1,2413,NA,MA methods manual,D4,Zayed prize-funded (via UNEP) ,130256,22088
230,2007,3,1,2486,CDB,2.3.5 High Seas MPAs,D5,EC (Through CBD),13904,13904
231,2007,3,1,2497,IM,NINA Mailing List,C2,NINA,2564,2564
232,2007,3,2,2189K,NA,2011 BIP Sweden Food and Medicine,D4,Swedbio,43270.20973,20362.45164
233,2007,3,2,2189L,NA,2012 BIP Sweden Health and Well Being,D4,Swedbio,27998.371,2545.306455
234,2007,3,2,2498,JMH,Sustainable use Indicators,A1,Shell,67796.61017,67796.61017
235,2007,3,A,2066E,EC,ICRI Secretariat - 2007 - 2009,D4,US State Department,120000,90000
236,2007,3,A,2489,GF,CITES Support 2007,D3,CITES,50906.1291,50906.1291
237,2007,3,A,2359#,KZ,Second year of two-year MoU with DEWA,A1,DEWA,198533.9035,158827.1228
238,2007,3,A,2385,LM,REFORLAN,D4,University of Bournemouth,10000,7500
239,2007,3,A,2413A,NA,MA methods manual,D4,DEFRA,18000,12000
240,2007,3,A,2432A,LM,IAASTD reports review,D4,UNEP,7635.919365,7635.919365
241,2007,3,A,2453,GF,CMS Party Reports 2008,D3,CMS Secretariat,40724.90328,30000
242,2007,3,A,2482,NA,2010 BIP,D4,UNEP GEF (following PDF phase),1832620.648,411898.9037
243,2007,3,A,2492,EC,Publication on West Africa Mangroves,D4,UNEP Regional Seas,2545.306455,500
244,2007,3,A,1172L,LM,French version of World Atlas of Great Apes,A1,UNESCO,8000,6000
245,2007,3,A,1122L,JMH,Proteus,A1,BHP Biliton,50000,37500
246,2007,3,B,950,JMH,ECOiSHARE,A1,Rio Tinto,50000,37500
247,2007,3,B,950,JMH,ECOiSHARE,A1,BP,50000,37500
248,2007,3,B,1122,JMH,Proteus,A1,Exon Mobil,50000,37500
249,2007,3,B,1122L,JMH,Proteus,A1,Anglo Gold,50000,37500
250,2007,3,B,2189J,NA,2010 BIP Norway,D4,Norwegian Government,25453.06455,19089.79841
251,2007,3,B,2189I,NA,2010 BIP Indicators DEFRA,D4,DEFRA,101812.2582,76359.19365
252,2007,3,B,2244,TJ,IHS Energy,A1,Norsk Hydro,32070.86133,32070.86133
253,2007,3,B,2244,TJ,IHS Energy,A1,Anadarko,19726.12503,19726.12503
254,2007,3,B,2244,TJ,IHS Energy,A1,Petro Bras,27998.371,27998.371
255,2007,3,B,2244,TJ,IHS Energy,A1,Cairn Energy,2392.588068,2392.588068
256,2007,3,B,2244,TJ,IHS Energy,A1,JOGMEC,22907.75809,22907.75809
257,2007,3,B,2244,TJ,IHS Energy,A1,Columbia,20000,15000
258,2007,3,B,2396,LM,World Atlas of Biodiversity and Climate Change ,D4,"UNEP PCMU, UNEP DEWA, Norwegian Gov.",264711.8713,198533.9035
259,2007,3,B,2441,PB,Building national capacity for biodiversity indicators and reporting on MDG-7 and the 2010 Biodiversity Target in Southern and Eastern Africa,D4,"UNDA and also UNEP PCMU, UNEP DEWA",279220.1181,59560.17104
260,2007,3,B,2449,NA,Circumpolar Biodiversity Monitoring Programme 2006,D4,Canadian Government,13274.33628,6637.168142
261,2007,3,B,2451,IL,Landuse planning in East Africa,C2,WWF UK,20000,15000
262,2007,3,B,2457,LM,Island Database Workshop,D4,Total,38000,28500
263,2007,3,B,2490,GF,CITES Support 2008-11,D3,CITES,254530.6455,254530.6455
264,2007,3,B,2491,EC,GMA Follow Up,D4,"UNEP DEWA, UNESCO IOC",254530.6455,229077.5809
265,2007,3,B,2493,GF,CITES COP14 Rapporteuring,D3,CITES,1985.339035,1985.339035
266,2007,3,B,2494#,IL,Strengthening PA networks in Africa,D5,JRS Biodiversity Foundation,101812.2582,45815.51619
267,2007,3,B,2496,KT,West Africa Marine Portal,C2,JRS Biodiversity Foundation,101812.2582,50906.1291
268,2007,3,B,,CB,Danzer WDPA support,D5,Danzer,15000,15000
269,2007,3,B,,TJ,Roundtable on Sustainable Palm Oil,A1,RSPO Secretariat,50000,40000
270,2007,3,B,2450,CB,Plant Biodiversity Outlook,D4,Irish Government via CBD,130000,70000
271,2007,3,B,2415,SF,Consultation Paper - Trade in Aquatic Ornamentals phase 1 and 2,D3,EC,20000,20000
272,2007,3,B,950,JMH,ECOiSHARE,D5,Premier Oil,48000,48000
273,2007,3,B,,JDH,State of world's protected areas,A1,Rutherford Foundation,20000,0
274,2007,3,B,,JDH,Digital Access to UNEP-WCMC publications and reports,A1,Stanford University/Moore Foundation,36000,28000
275,2007,3,B,,JMH,Packard OE Grant,A1,Packard Foundation,15271.83873,0
276,2007,3,B,1146B,LM,GEO ch9 review meeting,D4,UNEP-DEWA,6159.641621,3736.509876
277,2007,3,B,,LM,AEWA adaptation,D4,AEWA,40000,32000
278,2007,3,C,2037B,LM,FRIS - Stage 3,D4,,0,0
279,2007,3,C,2138C,CB,Forest Certification 2010,D4,,300000,240000
280,2007,3,C,2178,LM,Dryland Watch,D4,UNCCD,59000,44250
281,2007,3,C,2351,JDH,Biodiversity Yearbook,D4,"UNEP PCMU, UNEP DEWA",114538.7905,85904.09285
282,2007,3,C,2383,CB,Global Mapping IAS,D4,New Zealand Government,132000,99000
283,2007,3,C,2387,EC,World Atlas of Saltmarshes,D4,TNC,250000,187500
284,2007,3,C,2389,JMH,Transition Plan,A1,DEFRA / IUCN / Shell,865404.1947,649053.146
285,2007,3,C,2399,JMH,CITES Trade Data,A1,Japanese Government,10181.22582,7635.919365
286,2007,3,C,2401,IM,Support to Regional Seas,C3,IMO,5000,3750
287,2007,3,C,2403,CDB,Vision 2020,D5,"UNEP PCMU, UNEP DEWA",545204.6426,408903.482
288,2007,3,C,2404,PH,UNFCCC and forest conservation,D3,UNEP (ED's Discretionary Fund),147627.7744,76359.19365
289,2007,3,C,2437,EC,Economic Evaluation,D4,"World Bank, WRI, UNEP Partners",800000,560000
290,2007,3,C,2446,CDB,Protected Areas Climate Change,D5,"UNEP PCMU, UNEP DEWA",516697.2103,387522.9078
